id,easting,northing
53109,390450,162350
E21234,640750,309950
E24506,566850,336350
266474TP,419150,168250
48170,167750,30750
E37151,596050,226750
028185,401150,518350
46106,262650,73850
246424TP,524650,179550
44101,348050,100350
003066,389250,606250
1687,355250,235550
43204,390250,107250
3766,450350,345650
3576,422950,355250
E5670,607050,120150
281186TP,480450,136250
E5660,601250,135450
577805,355550,453950
581159,365050,491150
1335,324450,330150
251556TP,409550,214250
041238,507450,442450
E22205,522250,248550
060947,387350,480350
50106,264750,94850
E160,582850,168350
000075TP,525150,133150
598691,372250,501950
085322,427350,408450
52201,352450,152550
253861TP,430250,210750
E45811,519750,401650
E37291,588550,238550
E6280,581450,117850
E24751,539650,287250
578009,352850,448150
E44101,582750,213850
50187,232750,114950
E46161,579350,182350
036704,494150,505350
45168,302950,120250
265415TP,455850,174350
44100,340250,97950
E42971,601950,257750
46160,265850,65450
567866,339250,396350
531108,377350,148750
018777,421250,551850
077256,396350,433550
E21288,645150,289350
577417,333150,446250
276956TP,507150,215550
035488,466450,505250
45236,317150,98150
E7065,501250,297350
E4540,594650,148550
46108,267350,84150
E22876,571350,207150
44103,350750,89950
256230TP,450350,205850
274178TP,474550,197050
E2365,514250,305150
3652,450550,326850
596026,315950,551350
E11040,478750,110550
E14910,460650,91750
E12580,447150,132450
000102TP,554850,226350
041917,511450,435650
3616,420050,369850
52222,372650,137250
056505,443450,464350
240350TP,518150,214150
278744TP,501650,200050
E2463,524650,309150
E5727,544050,332750
601304,350750,515950
E22231,494150,234350
026958,383850,532050
E24879,579650,194050
240201TP,506450,221750
47163,241450,54250
1165,427050,256450
1155,459550,280250
49106,210950,85650
280826TP,485650,148150
561299,396850,417850
560943,376750,422450
E37081,607250,331450
45102,292750,137850
023164,416850,523950
49105,213250,76550
016140,389850,562850
E25051,540450,372950
287864TP,529850,166250
45158,284950,131350
E802,556450,146350
E24901,604450,214650
025394,432850,555650
603111,369350,577750
592848,331350,515750
E8530,543850,114650
E42961,584550,342250
47166,258450,74150
264254TP,461350,191350
E24746,533250,245250
282290TP,504150,139350
E270,570650,160850
E42991,628350,300950
E42981,605650,299450
282947TP,495250,154350
E7200,479550,295950
287722TP,532150,162350
E14080,451950,150650
E46061,522050,407150
1740,446050,277350
E1681,555350,132150
E27621,578150,185750
50110,272250,125750
3574,443150,333550
E7075,490650,288850
49104,217950,70950
586820,328550,506050
4103,385150,357550
550148,326050,390850
594202,315050,522250
3025,392050,311550
575384,372250,432750
E2410,580950,148250
263541TP,460850,205150
052287,417250,501550
E10500,476950,122950
3100,426550,325950
007292,402050,571050
E12570,446750,123450
244027TP,539250,209750
E21637,536750,265350
257039TP,445750,241750
055R0521E_TG_326,332850,258550
E23500,614950,241450
261923TP,479150,214750
555207,385250,357550
3611,481350,399450
3601,479750,371150
E24889,633750,278550
E37271,568250,241850
589359,320950,494750
E2544,503950,289750
239579TP,544750,183050
586493,339950,483850
E21179,565150,195750
243045TP,547650,231850
558016,400250,371950
1045,433550,273950
E7105,532050,386550
051729,400850,502050
E24756,614450,293150
52101,321250,119750
E22309,586450,284450
E14440,430150,93950
52105,330150,137750
571894,382250,467550
E22400,568050,256050
49172,199750,80450
579167,340850,444950
E23392,592650,330250
E1700,554050,129750
1795,343150,280150
1769,393450,255750
585512,353150,498050
603315,364450,570450
600735,343450,526650
E23657,471250,235750
44213,351750,103150
276651TP,518450,207650
575935,367950,422150
582837,372250,466150
E23205,654050,292450
562417,370950,412650
073422,389350,467150
E23487,609550,254950
047439,388350,491050
3110,399350,358350
1332,346750,299350
E24865,589050,207450
E7270,579750,113250
3346,397350,339550
E3281,602750,162350
1141,393650,208750
573674,365350,452950
E19017,557550,242550
240662TP,511150,227750
558491,405450,388050
059793,458150,452650
013553,371450,547350
50108,279650,115350
E14920,448950,88250
038476,522450,469550
E11461,463050,111850
E24727,571250,321050
576925,345650,428350
300001TP,472850,138350
53107,366350,168750
1409,330350,300450
E8500,529050,131250
283596TP,497650,161150
241243TP,527550,229650
47102,229050,99150
49162,190750,63950
076204,424650,432450
53102,396450,183350
E7120,520850,389350
E4080,611750,155450
287451TP,528250,158150
E12160,454350,116150
53106,391250,175050
52225,343850,151550
265038TP,445650,182950
598147,384550,512150
417417TP,499350,175150
45231,332150,96850
247540TP,507650,176750
074385,398750,450150
035305,482750,510850
1774,363150,271350
E9720,506850,107850
1548,377250,278950
49108,220150,95750
44214,364750,104850
559969,391150,395850
570788,356850,417650
E14940,456750,87150
E22735,577150,236450
E22322,587350,262350
604040,357550,553750
E1300,539350,139950
E1908,510350,381250
1552,386950,293750
3380,417450,389850
E5728,573650,309050
E2578,500150,333650
E4090,612950,159850
068762,466750,497450
E24767,623550,274550
53108,377450,164950
240470TP,524550,210050
243679TP,552450,214150
238097TP,549950,186350
E13590,432850,117250
287141TP,524750,164150
039163,517250,468650
E22218,501550,267450
E7160,483850,306450
E10140,501650,125950
593321,325150,523950
034459,467150,514150
45115,291750,79150
E2450,527450,296250
1087,426750,241050
E42135,509150,371850
290007TP,548250,180850
605936,343650,536150
45166,312850,107450
3641,445950,315850
3349,409450,333850
3861,463350,403150
45113,278850,98750
E24737,597250,273550
52227,336750,143050
3781,409150,288050
247344TP,509950,184650
E13580,430750,133850
574718,387150,439450
43203,380350,125850
562992,382650,304350
289102TP,537750,177150
E1691,540650,135350
032822,433650,526650
613467,336150,568350
E1645,509550,419950
E7130,499550,405250
3603,475950,354150
51102,305650,136250
E7180,574450,114450
E7170,492350,354250
E2476,458350,261950
245176TP,530850,189450
577271,334750,432350
3773,463750,348750
1794,381150,219650
290200TP,548950,155650
600986,355250,511550
005588,430550,586850
560631,387250,424750
E8510,535650,113650
E13560,435750,121650
45157,301950,126850
285630TP,516050,155650
E7070,486650,257350
037239,502850,487550
E6770,572350,121350
007533,414650,571250
082509,426850,385650
924203,398150,652450
3441,438050,359850
E10370,485250,122950
E10360,477250,127050
004942,423550,605950
584098,353550,470550
48105,179450,49450
084532,443250,385750
48155,205950,80650
E14880,442550,85950
43205,404550,95050
561613,388150,418550
243131TP,550250,224350
576578,357450,435250
E2316,499250,324650
E5729,609850,343650
080282,434550,420450
3629,460950,321550
E6760,559650,127950
E44081,571050,243150
E901,552350,141450
054507,439450,498750
021228,384950,539250
022994,408450,525450
52103,355650,111650
E22244,533650,257850
E24920,590050,185050
1603,350150,258750
E7190,556450,103650
573342,371950,454550
46101,277050,56250
48171,170350,19950
3767,439150,347350
E11191,483550,114450
078922,415550,412150
45169,298850,101050
268103TP,430450,182250
075233,405050,433450
254336TP,444450,208650
E2859,492750,333450
606299,338950,556550
E5734,596050,187750
E10000,503450,117850
44104,365350,85850
E44091,579250,232750
476898_TG_333,349550,228450
246847TP,520850,187050
52129,331050,108950
