NRFA_ID,easting,northing
36003,598528.0,237881.0
36004,586785.0,245940.0
36005,602441.0,242918.0
36006,602067.0,234431.0
36007,584785.0,242156.0
36008,582733.0,246341.0
36009,591353.0,252546.0
36010,568927.0,241819.0
36011,569640.0,244098.0
36012,570848.0,245012.0
36013,603229.0,235408.0
36015,589681.0,235757.0
37001,541499.0,188348.0
37002,579471.0,209024.0
37003,578645.0,210753.0
37004,583515.0,209016.0
37005,596249.0,226113.0
37006,569009.0,207165.0
37007,568679.0,206010.0
37008,571303.0,207126.0
37009,581753.0,214748.0
37010,584463.0,215816.0
37011,562886.0,223350.0
37012,577101.0,236407.0
37013,575534.0,205471.0
37014,556172.0,204100.0
37015,554835.0,203526.0
37016,566865.0,231314.0
37017,579291.0,224292.0
37018,555163.0,186177.0
37019,551533.0,185330.0
37020,567088.0,219360.0
37021,598493.0,220530.0
37022,618030.0,221135.0
37023,544137.0,195572.0
37024,585513.0,229784.0
37025,582258.0,227549.0
37026,607928.0,220758.0
37027,605442.0,221395.0
37028,610926.0,219303.0
37029,613449.0,215989.0
37031,574811.0,193386.0
37033,585856.0,188875.0
37034,559619.0,180384.0
37038,567192.0,200020.0
38001,539074.0,209193.0
38002,539360.0,214840.0
38003,528256.0,213276.0
38004,535990.0,217444.0
38005,538000.0,213800.0
38006,533500.0,215800.0
38007,543166.0,210394.0
38011,522646.0,216944.0
38012,527488.0,221164.0
38013,511780.0,218590.0
38014,534361.0,193703.0
38015,535500.0,193200.0
38016,550043.0,224738.0
38017,518410.0,221210.0
38018,529980.0,209950.0
38019,535400.0,193200.0
38020,538710.0,199982.0
38021,535980.0,198500.0
38022,534050.0,192540.0
38023,535668.0,188039.0
38024,537040.0,198870.0
38025,534000.0,192500.0
38026,549535.0,212702.0
38027,539156.0,209271.0
38028,550537.0,224047.0
38029,539125.0,224786.0
38030,532503.0,213143.0
38031,538520.0,209830.0
38032,535177.0,187240.0
38033,511946.0,218235.0
39001,517780.0,169850.0
39002,456880.0,193620.0
39003,526555.0,170541.0
39004,529630.0,165480.0
39005,521614.0,171745.0
39006,440179.0,201858.0
39007,473090.0,164780.0
39008,444499.0,208703.0
39009,490900.0,179700.0
39010,505180.0,186360.0
39011,487450.0,143270.0
39012,518192.0,168783.0
39013,512108.0,198118.0
39014,515077.0,201969.0
39015,473356.0,152176.0
39016,464959.0,170828.0
39017,468052.0,221115.0
39018,448600.0,196900.0
39019,447033.0,168219.0
39020,412147.0,206228.0
39021,448207.0,218315.0
39022,472011.0,165260.0
39023,489597.0,186679.0
39024,528800.0,140200.0
39025,456783.0,164772.0
39026,445832.0,241068.0
39027,463450.0,176580.0
39028,432130.0,168520.0
39029,499998.0,147828.0
39030,508243.0,195241.0
39031,441106.0,173066.0
39032,439000.0,174500.0
39033,445266.0,169473.0
39034,444816.0,209933.0
39035,407574.0,196292.0
39036,504543.0,146821.0
39037,418705.0,168631.0
39038,467000.0,205500.0
39039,485290.0,193680.0
39040,409401.0,194229.0
39042,422700.0,199320.0
39043,429500.0,171020.0
39044,475530.0,159181.0
39046,451702.0,194623.0
39049,521705.0,189500.0
39051,447500.0,234600.0
39052,485350.0,171250.0
39053,527090.0,143280.0
39054,526029.0,139806.0
39055,508300.0,184600.0
39056,537225.0,173255.0
39057,510312.0,177840.0
39058,537214.0,172598.0
39061,437486.0,185325.0
39065,464225.0,191613.0
39068,517990.0,150160.0
39069,526245.0,146209.0
39071,400746.0,197314.0
39072,498040.0,177240.0
39073,402013.0,202863.0
39074,410585.0,195042.0
39076,430140.0,210658.0
39077,419265.0,169837.0
39078,483673.0,146263.0
39079,506850.0,164830.0
39081,448148.0,196667.0
39084,523610.0,188025.0
39085,526600.0,170300.0
39086,528519.0,141717.0
39087,412100.0,193520.0
39088,506573.0,194809.0
39089,505326.0,207648.0
39090,420820.0,196950.0
39091,497500.0,196300.0
39092,524000.0,189567.0
39093,520194.0,185052.0
39094,515455.0,173487.0
39095,539485.0,174878.0
39096,519359.0,186216.0
39097,423000.0,198100.0
39098,506200.0,182600.0
39099,407705.0,201331.0
39100,399667.0,192686.0
39101,428901.0,171719.0
39102,504764.0,186658.0
39103,447164.0,167172.0
39104,513058.0,166063.0
39105,461190.0,205030.0
39106,516110.0,156410.0
39107,521590.0,163300.0
39108,402150.0,205710.0
