id,easting,northing
SHIPDR,595797.0,305975.0
575663,361999.0,437260.0
575332,378516.0,438208.0
578009,352741.0,448093.0
574718,387224.0,439425.0
579721,346145.0,458762.0
571894,382309.0,467593.0
073422,389392.0,467125.0
574488,380700.0,440100.0
575335,377130.0,440690.0
573342,371684.0,454771.0
573719,365277.0,452902.0
582970,362689.0,469478.0
582837,372211.0,466079.0
571479,378292.0,480153.0
047281,382963.0,486670.0
060947,387370.0,480349.0
584098,353435.0,470541.0
061431,390114.0,474278.0
074329,400166.0,454444.0
584191,348784.0,470672.0
074385,398800.0,450201.0
074108,393623.0,446154.0
574656,393229.0,437453.0
577882,352764.0,457278.0
576578,357394.0,435205.0
298821,582860.0,168272.0
296586,578256.0,136138.0
566413502,575838.0,128560.0
566710501,581020.0,128986.0
301329,590444.0,150850.0
290867,561662.0,166348.0
291778,559760.0,168697.0
297931,563995.0,159573.0
290580,553560.0,165490.0
290320,553120.0,157077.0
294777,559430.0,151189.0
293045,555334.0,132107.0
295929,567848.0,145283.0
462142505,575106.0,170225.0
295668,571213.0,136827.0
297775,569746.0,152983.0
463220502,572109.0,140519.0
296705,581855.0,144322.0
463210512,580954.0,148140.0
297167,575020.0,152109.0
297708,578895.0,157142.0
297752,577420.0,159439.0
295589,567818.0,135976.0
292733,548268.0,136107.0
291241TP,545915.0,165238.0
293834,539216.0,139924.0
291825,561899.0,173489.0
463630901,541150.0,151325.0
291628,555221.0,176541.0
461220901,548539.0,172762.0
293436,552312.0,141471.0
461354506,542897.0,155830.0
292554,540698.0,135388.0
290200TP,548900.0,155600.0
566615502,559621.0,127839.0
294126,543615.0,151546.0
463610906,545247.0,146879.0
288504TP,539982.0,163085.0
291477TP,546824.0,175467.0
294323,548843.0,147456.0
463501506,546642.0,140211.0
463641904,536437.0,150447.0
003066,389297.0,606260.0
016140,389891.0,562840.0
010312,376157.0,583204.0
010660,374949.0,603066.0
473152,350374.0,258083.0
476898,349480.0,228425.0
471687,355232.0,235562.0
471317,349596.0,239665.0
475212,360965.0,256525.0
478092,337408.0,236501.0
059793,458158.0,452654.0
072066,470480.0,448463.0
050680,438468.0,466147.0
056505,443496.0,464307.0
068416,469502.0,478758.0
070365,477805.0,483890.0
036225,480843.0,494821.0
038179,488813.0,468533.0
037973,454255.0,489426.0
068762,466783.0,497416.0
414608,368656.0,145741.0
339609,423106.0,146883.0
415820,377444.0,164966.0
414418,366160.0,148053.0
341962,380310.0,125840.0
405553,369647.0,135360.0
412867,402600.0,154590.0
337114,395694.0,129843.0
339117,407470.0,140521.0
405435,372649.0,137298.0
414291,377364.0,148748.0
412666,390385.0,162228.0
335169,405089.0,162158.0
344185,388794.0,118766.0
342386,371268.0,127370.0
341755,375350.0,131860.0
413484,389450.0,148660.0
378768,183343.0,43245.0
379375,174588.0,40680.0
381111,149278.0,38295.0
379923,167789.0,30711.0
382133,154613.0,35830.0
381233,145020.0,31336.0
380388,170308.0,19997.0
382381,164307.0,41181.0
382454,168417.0,42678.0
379706,177699.0,33599.0
151483,469130.0,293500.0
151674,477390.0,286760.0
151890,479540.0,295960.0
153218,483850.0,306470.0
V16,464480.0,284810.0
U28,489820.0,302700.0
001155,459583.0,280259.0
160840,473410.0,282370.0
163471,490660.0,288890.0
138829,492920.0,319720.0
U04,499210.0,324650.0
T07,501210.0,297400.0
163096,503960.0,289710.0
162699,494830.0,284710.0
153788,506920.0,306510.0
361412501,556406.0,103463.0
362640501,546439.0,112521.0
306643,572230.0,121300.0
362610031,545293.0,100686.0
362710501,543941.0,114660.0
361550500,561051.0,114937.0
361552500,559404.0,116949.0
362910501,545874.0,119006.0
605936,343590.0,536078.0
604040,357548.0,553707.0
013878,366510.0,553048.0
601360,349432.0,518162.0
601304,350780.0,515930.0
600735,342667.0,526518.0
604142,354603.0,555103.0
026958,383824.0,532005.0
026644,381649.0,529069.0
598929,367388.0,514401.0
600023,364391.0,526710.0
601068,357909.0,527484.0
601742,355404.0,535978.0
013336,366848.0,542338.0
598691,372198.0,519481.0
015347,385857.0,545609.0
598145,384468.0,512126.0
580058,362465.0,508323.0
013553,371649.0,546607.0
013045,375739.0,538697.0
021228,384987.0,539267.0
580353,355452.0,506553.0
028502,390977.0,512169.0
600986,355380.0,511539.0
257039TP,445760.0,241797.0
256345TP,452349.0,252546.0
256306,456690.0,254490.0
V07,458440.0,261970.0
1165_RK,427095.0,256470.0
MORLEYR,606100.0,299699.0
STRADR,623419.0,274585.0
HARLERR,624901.0,284099.0
PORINGR,628330.0,300950.0
NORELR,599876.0,321284.0
SALLER,612659.0,324302.0
SPARHR,607202.0,318698.0
NORHER,621254.0,309723.0
HETHER,614716.0,305186.0
R50429_FW,272220.0,125742.0
362188,278585.0,78361.0
372160,254818.0,90985.0
388956,260449.0,91211.0
369366,255755.0,87060.0
359673,278929.0,98799.0
362559,279439.0,72295.0
389531,248650.0,111287.0
371623,242959.0,99215.0
372841,242285.0,89805.0
391972,279668.0,115363.0
369509,254828.0,78342.0
369504,250915.0,78437.0
369064,258446.0,74110.0
363500,262740.0,73890.0
R46434_FW,267341.0,84189.0
363307,265678.0,77590.0
369840,257175.0,80223.0
329517,430728.0,133756.0
330973,435447.0,115066.0
331553,431136.0,109008.0
325444,447076.0,132388.0
BURWER,559190.0,268775.0
194730,539506.0,287233.0
294452,556228.0,146367.0
462121501,570490.0,160862.0
301417,594548.0,148548.0
STIFFR,559269.0,180051.0
296200,592396.0,140265.0
299658,591289.0,164803.0
144680,523461.0,374316.0
